class_label,code
Introduced Upland Vegetation - Perennial Grassland and Forbland,559
Modified/Managed Southern Tall Grassland,560
Introduced Upland Vegetation - Shrub,561
Introduced Riparian and Wetland Vegetation,562
Introduced Upland Vegetation - Treed,563
0,564
"Disturbed, Non-specific",565
Recently Logged Areas,566
Harvested Forest - Grass/Forb Regeneration,567
Harvested Forest-Shrub Regeneration,568
Harvested Forest - Northwestern Conifer Regeneration,569
Recently Burned,570
Recently burned grassland,571
Recently burned shrubland,572
Recently burned forest,573
Disturbed/Successional - Grass/Forb Regeneration,574
Disturbed/Successional - Shrub Regeneration,575
Disturbed/Successional - Recently Chained Pinyon-Juniper,576
Open Water (Aquaculture),577
Open Water (Brackish/Salt),578
Open Water (Fresh),579
"Quarries, Mines, Gravel Pits and Oil Wells",580
"Developed, Open Space",581
"Developed, Low Intensity",582
"Developed, Medium Intensity",583
"Developed, High Intensity",584
